location,year,month,day,mean_windspeed,wind_direction,mean_tempurature,humidity,rainfall,duration,color
Shek Kong,2019,4,6,2.5,240,25,***,0,0,Green
Shek Kong,2019,4,7,2.5,230,25.4,***,0,0,Green
Shek Kong,2019,4,8,3.1,190,26.7,***,0,0,Green
Shek Kong,2019,4,9,4,200,26.9,***,0,0,Green
Shek Kong,2019,4,10,2.9,200,27.4,***,0,0,Green
Shek Kong,2019,4,11,3.5,200,27.1,***,2,155,Amber
Shek Kong,2019,4,12,17,80,22.1,***,8,0,Green
Shek Kong,2019,4,13,18.9,70,22.4,***,0,0,Green
Shek Kong,2019,4,14,7.5,90,23.7,***,12.5,0,Green
Shek Kong,2019,4,15,17.3,90,22.8,***,0.5,0,Green
Shek Kong,2019,4,16,7.4,90,21.2,***,14,0,Green
Shek Kong,2019,4,17,1.8,100,23.5,***,0,0,Green
Shek Kong,2019,4,18,4.8,90,24.4,***,7.5,100,Amber
Shek Kong,2019,4,19,6.4,90,23.8,***,83,430,Amber
Shek Kong,2019,4,20,3,90,24.1,***,50,140,Red
Shek Kong,2019,4,21,4.9,200,27.1,***,0.5,0,Green
Shek Kong,2019,4,22,4.4,200,28,***,0,0,Green
Shek Kong,2019,4,23,3.9,200,28.1,***,0,0,Green
Shek Kong,2019,4,24,4,200,28.1,***,0,0,Green
Shek Kong,2019,4,25,5,230,28.8,***,0,0,Green
Shek Kong,2019,4,26,4.2,200,28.4,***,0,0,Green
Shek Kong,2019,4,27,12.8,90,24.8,***,16,210,Amber
Shek Kong,2019,4,28,11.6,80,25.7,***,0,0,Green
Shek Kong,2019,4,29,2.8,210,27.2,***,0,0,Green
Shek Kong,2019,4,30,2.9,210,26.7,***,1.5,0,Green
Shek Kong,2019,5,1,5.5,60,25.2,***,0,0,Green
Shek Kong,2019,5,2,6.4,90,21.8,***,5.5,0,Green
Shek Kong,2019,5,3,11.1,90,21.9,***,7.5,0,Green
Shek Kong,2019,5,4,18.3,90,22.4,***,9,0,Green
Shek Kong,2019,5,5,14.6,70,22.2,***,5.5,0,Green
Shek Kong,2019,5,6,13,90,22.4,***,9,0,Green
Shek Kong,2019,5,7,11.1,90,20.8,***,10.5,0,Green
Shek Kong,2019,5,8,16.8,80,20.9,***,12.5,0,Green
Shek Kong,2019,5,9,4.8,60,23.1,***,5,0,Green
Shek Kong,2019,5,10,1.5,100,24.9,***,0,0,Green
Shek Kong,2019,5,11,2.7,100,26.1,***,0,0,Green
Shek Kong,2019,5,12,10.5,90,26.4,***,0,0,Green
Shek Kong,2019,5,13,6.5,100,26.8,***,0,0,Green
Shek Kong,2019,5,14,2.8,240,28.2,***,0,0,Green
Shek Kong,2019,5,15,3,200,28.6,***,0,0,Green
Shek Kong,2019,5,16,5,200,29.4,***,0,0,Green
Shek Kong,2019,5,17,5.7,210,29.8,***,0,0,Green
Shek Kong,2019,5,18,5,200,30.2,***,0,0,Green
Shek Kong,2019,5,19,5.9,200,30.4,***,0,0,Green
Shek Kong,2019,5,20,3.3,250,28.5,***,8,155,Amber
Shek Kong,2019,5,21,12.7,90,25,***,14,130,Amber
Shek Kong,2019,5,22,4.5,100,26.2,***,0.5,0,Green
Shek Kong,2019,5,23,10.3,90,26.4,***,0,0,Green
Shek Kong,2019,5,24,18.9,80,26,***,0,0,Green
Shek Kong,2019,5,25,8.6,80,27.8,***,0.5,0,Green
Shek Kong,2019,5,26,2.7,90,26.8,***,44.5,135,Amber
Shek Kong,2019,5,27,2.1,300,26.1,***,42.5,315,Amber
Shek Kong,2019,5,28,0.9,100,25.4,***,67,130,Amber
Shek Kong,2019,5,29,14.3,90,25.4,***,0,0,Green
Shek Kong,2019,5,30,12.5,90,25.2,***,0,0,Green
Shek Kong,2019,5,31,1.1,90,25.8,***,16.5,0,Green
Shek Kong,2019,6,1,3.3,210,27.3,88,6.5,115,Amber
Shek Kong,2019,6,2,2.7,250,26.6,91,11.5,0,Green
Shek Kong,2019,6,3,3.4,210,27.5,87,14.5,0,Green
Shek Kong,2019,6,4,2,210,28,88,4,100,Amber
Shek Kong,2019,6,5,2.8,200,29.3,81,0,0,Green
Shek Kong,2019,6,6,4.5,190,30.2,77,0,0,Green
Shek Kong,2019,6,7,5,200,30.3,78,0,0,Green
Shek Kong,2019,6,8,5.6,200,30.1,79,0,0,Green
Shek Kong,2019,6,9,6.4,200,30.2,79,0,0,Green
Shek Kong,2019,6,10,4.6,210,28.4,87,17,0,Green
Shek Kong,2019,6,11,1.7,280,26.2,97,46,215,Amber
Shek Kong,2019,6,12,4.3,90,27.7,90,2.5,0,Green
Shek Kong,2019,6,13,2.1,200,27.2,92,27,350,Amber
Shek Kong,2019,6,14,4.7,290,28.5,76,9,100,Amber
Shek Kong,2019,6,15,9,90,28.3,71,0,0,Green
Shek Kong,2019,6,16,14.4,90,28.5,73,0,0,Green
Shek Kong,2019,6,17,11.5,80,28.3,82,1.5,0,Green
Shek Kong,2019,6,18,2.7,170,29.4,81,0.5,0,Green
Shek Kong,2019,6,19,3,190,29.7,81,0,0,Green
Shek Kong,2019,6,20,4.7,190,30.3,81,3.5,0,Green
Shek Kong,2019,6,21,6.1,200,30.9,79,0.5,0,Green
Shek Kong,2019,6,22,5.4,200,30.8,79,0,0,Green
Shek Kong,2019,6,23,3.9,200,30.3,80,0,0,Green
Shek Kong,2019,6,24,1.9,210,28.2,91,10.5,0,Green
Shek Kong,2019,6,25,1.2,250,26.8,92,22,140,Amber
Shek Kong,2019,6,26,1.1,210,28.2,89,8,0,Green
Shek Kong,2019,6,27,2.9,190,30.1,82,0,0,Green
Shek Kong,2019,6,28,3,200,30.2,83,5,0,Green
Shek Kong,2019,6,29,3.3,190,30.3,84,11.5,0,Green
Shek Kong,2019,6,30,1.3,70,28.5,91,35,0,Green
Shek Kong,2019,7,1,8.7,90,30,79,0,0,Green
Shek Kong,2019,7,2,11.9,80,29.3,80,4.5,0,Green
Shek Kong,2019,7,3,3.9,180,27,92,58.5,120,Amber
Shek Kong,2019,7,4,5.3,190,28.9,89,33.5,0,Green
Shek Kong,2019,7,5,4.1,200,29,87,4.5,0,Green
Shek Kong,2019,7,6,5.6,210,29.9,84,0.5,0,Green
Shek Kong,2019,7,7,6.3,200,29.8,86,1.5,0,Green
Shek Kong,2019,7,8,8.6,200,30.1,84,0.5,0,Green
Shek Kong,2019,7,9,6.7,210,30,85,1,0,Green
Shek Kong,2019,7,10,2.1,240,27.9,93,21.5,0,Green
Shek Kong,2019,7,11,2.5,200,28.3,92,14.5,0,Green
Shek Kong,2019,7,12,8.2,200,30.2,82,0,0,Green
Shek Kong,2019,7,13,7.7,210,30.5,80,0,0,Green
Shek Kong,2019,7,14,6.3,200,29.9,85,1,0,Green
Shek Kong,2019,7,15,2.7,210,30.2,79,0,0,Green
Shek Kong,2019,7,16,1.8,190,30.1,76,0,0,Green
Shek Kong,2019,7,17,1.7,290,30.3,79,0,0,Green
Shek Kong,2019,7,18,2,180,29.5,84,22.5,0,Green
Shek Kong,2019,7,19,1.5,280,27.9,91,5.5,110,Amber
Shek Kong,2019,7,20,1.3,230,27.2,93,6,120,Amber
Shek Kong,2019,7,21,1.4,210,28.8,85,0,0,Green
Shek Kong,2019,7,22,1.3,40,28.2,86,1,0,Green
Shek Kong,2019,7,23,2.3,80,29.4,80,0,0,Green
Shek Kong,2019,7,24,2.6,80,29.4,82,1,0,Green
Shek Kong,2019,7,25,3,190,29.8,81,0.5,0,Green
Shek Kong,2019,7,26,3,190,30.5,77,0,0,Green
Shek Kong,2019,7,27,3,190,30.6,77,0,0,Green
Shek Kong,2019,7,28,1.5,90,28.3,84,19.5,0,Green
Shek Kong,2019,7,29,7.7,80,28.3,82,0.5,0,Green
Shek Kong,2019,7,30,15,80,29,81,5,0,Green
Shek Kong,2019,7,31,17.8,80,26.4,88,162,330,Red
Shek Kong,2019,8,1,19.3,90,26.7,88,65.5,215,Amber
Shek Kong,2019,8,2,14.1,80,27.5,85,3,0,Green
Shek Kong,2019,8,3,11.3,80,27,87,5.5,0,Green
Shek Kong,2019,8,4,6.6,80,28.8,75,0,0,Green
Shek Kong,2019,8,5,3.8,90,30,71,0,0,Green
Shek Kong,2019,8,6,2,90,28.8,82,6,0,Green
Shek Kong,2019,8,7,3.4,90,29.7,72,0,0,Green
Shek Kong,2019,8,8,2.4,290,30.1,75,0,0,Green
Shek Kong,2019,8,9,3.2,270,31.4,74,0,0,Green
Shek Kong,2019,8,10,4.4,230,31.3,80,0,0,Green
Shek Kong,2019,8,11,6.5,230,31.1,79,0,0,Green
Shek Kong,2019,8,12,4.2,220,30.7,79,0,0,Green
Shek Kong,2019,8,13,3.5,210,31,78,0.5,0,Green
Shek Kong,2019,8,14,3,250,30.1,79,0,125,Amber
Shek Kong,2019,8,15,3.4,260,29.9,80,6,0,Green
Shek Kong,2019,8,16,3.4,230,29.4,82,2.5,0,Green
Shek Kong,2019,8,17,1.8,250,28.1,87,1,115,Amber
Shek Kong,2019,8,18,3,230,27.2,89,14,0,Green
Shek Kong,2019,8,19,1.9,240,28.1,89,8,0,Green
Shek Kong,2019,8,20,6.1,80,29,79,0,0,Green
