_id,location,year,month,day,mean_windspeed,wind_direction,mean_tempurature,humidity,rainfall,duration,color
6631e2b4aa38843775c15305,Sha Tin,2019,2,3,4.1,40,21.5,83,0,0,Green
6631e2b4aa38843775c15309,Sha Tin,2019,2,7,5,170,22.6,82,0,0,Green
6631e2b4aa38843775c1530d,Sha Tin,2019,2,11,6,360,17.3,84,0,0,Green
6631e2b4aa38843775c1530f,Sha Tin,2019,2,13,4.7,40,20.6,80,0,0,Green
6631e2b4aa38843775c15314,Sha Tin,2019,2,18,9.3,90,17.6,89,29.5,0,Green
6631e2b4aa38843775c15315,Sha Tin,2019,2,19,8,100,20.8,87,13.5,0,Green
6631e2b4aa38843775c15317,Sha Tin,2019,2,21,6.5,80,21.8,90,0,0,Green
6631e2b4aa38843775c1531f,Sha Tin,2019,3,1,7.7,90,20.5,87,1,0,Green
6631e2b4aa38843775c15327,Sha Tin,2019,3,9,8,360,17.5,93,7.5,0,Green
6631e2b4aa38843775c15324,Sha Tin,2019,3,6,6.8,350,20.4,90,31.5,225,Amber
6631e2b4aa38843775c1532b,Sha Tin,2019,3,13,6,110,20.3,70,0,0,Green
6631e2b4aa38843775c1532c,Sha Tin,2019,3,14,6.3,360,20.1,80,7,0,Green
6631e2b4aa38843775c1532e,Sha Tin,2019,3,16,7.6,90,20.2,62,0,0,Green
6631e2b4aa38843775c15334,Sha Tin,2019,3,22,7.7,220,25.5,82,0,0,Green
6631e2b4aa38843775c15339,Sha Tin,2019,3,27,5.2,100,22.3,81,0,0,Green
6631e2b4aa38843775c1533c,Sha Tin,2019,3,30,7.4,100,22.5,85,0,0,Green
6631e2b4aa38843775c1533e,Sha Tin,2019,4,1,10,110,20,79,0,0,Green
6631e2b4aa38843775c1533f,Sha Tin,2019,4,2,7.8,130,20.5,74,0,0,Green
6631e2b4aa38843775c15344,Sha Tin,2019,4,7,10.6,210,25.6,80,0,0,Green
6631e2b4aa38843775c1534c,Sha Tin,2019,4,15,7.8,90,21.9,81,0.5,0,Green
6631e2b4aa38843775c1534f,Sha Tin,2019,4,18,6.2,130,23.9,88,8.5,0,Green
6631e2b4aa38843775c15350,Sha Tin,2019,4,19,6.4,350,23.5,91,99,0,Green
6631e2b4aa38843775c15356,Sha Tin,2019,4,25,11.8,220,28.4,78,0,0,Green
6631e2b4aa38843775c1535a,Sha Tin,2019,4,29,5.5,170,26.7,81,0,0,Green
6631e2b4aa38843775c1535c,Sha Tin,2019,5,1,7.6,10,25.2,74,0,0,Green
6631e2b4aa38843775c1535d,Sha Tin,2019,5,2,7.1,10,22,83,4.5,0,Green
6631e2b4aa38843775c15360,Sha Tin,2019,5,5,5.5,80,21.6,91,14,0,Green
6631e2b4aa38843775c15330,Sha Tin,2019,3,18,6.8,90,21.1,81,0,0,Green
6631e2b4aa38843775c15331,Sha Tin,2019,3,19,4.7,180,22.9,82,0,0,Green
6631e2b4aa38843775c15332,Sha Tin,2019,3,20,5.5,80,23.4,86,0,0,Green
6631e2b4aa38843775c15333,Sha Tin,2019,3,21,10.8,220,25,80,0,0,Green
6631e2b4aa38843775c15336,Sha Tin,2019,3,24,6.8,360,16.7,90,1,0,Green
6631e2b4aa38843775c1533d,Sha Tin,2019,3,31,11.5,90,21.6,79,0,0,Green
6631e2b4aa38843775c15341,Sha Tin,2019,4,4,6.6,80,21.3,82,0,0,Green
6631e2b4aa38843775c15342,Sha Tin,2019,4,5,3.6,70,23.8,77,0,0,Green
6631e2b4aa38843775c15349,Sha Tin,2019,4,12,8.4,360,21.7,88,8.5,0,Green
6631e2b4aa38843775c1534a,Sha Tin,2019,4,13,9.8,80,21.2,89,2.5,0,Green
6631e2b4aa38843775c1534b,Sha Tin,2019,4,14,5.3,100,22.9,88,11.5,0,Green
6631e2b4aa38843775c15354,Sha Tin,2019,4,23,9.3,230,27.7,82,0,0,Green
6631e2b4aa38843775c1535b,Sha Tin,2019,4,30,5.9,210,26.7,81,21,0,Green
6631e2b4aa38843775c15362,Sha Tin,2019,5,7,6.3,80,20.6,85,10,0,Green
6631e2b4aa38843775c15328,Sha Tin,2019,3,10,6.2,360,17,85,7,0,Green
6631e2b4aa38843775c15325,Sha Tin,2019,3,7,8.3,360,17.1,90,37,115,Amber
6631e2b4aa38843775c15329,Sha Tin,2019,3,11,5.4,30,17.5,79,3,0,Green
6631e2b4aa38843775c1532f,Sha Tin,2019,3,17,7.3,100,20.7,73,0,0,Green
6631e2b4aa38843775c15337,Sha Tin,2019,3,25,5.7,50,19.8,84,1,0,Green
6631e2b4aa38843775c15338,Sha Tin,2019,3,26,6.8,90,21.4,84,0,0,Green
6631e2b4aa38843775c15343,Sha Tin,2019,4,6,8.2,210,24.5,79,0,0,Green
6631e2b4aa38843775c15346,Sha Tin,2019,4,9,9,220,26.9,76,0,0,Green
6631e2b4aa38843775c15348,Sha Tin,2019,4,11,8.8,220,26.6,82,6,0,Green
6631e2b4aa38843775c15351,Sha Tin,2019,4,20,6.2,70,23.4,93,31,0,Green
6631e2b4aa38843775c15355,Sha Tin,2019,4,24,10,230,27.9,78,16,60,Amber
6631e2b4aa38843775c15357,Sha Tin,2019,4,26,7.4,220,27.9,79,15.5,270,Amber
6631e2b4aa38843775c15358,Sha Tin,2019,4,27,7.9,70,24.7,82,63.5,100,Red
6631e2b4aa38843775c1535e,Sha Tin,2019,5,3,6.7,20,21.6,78,0,0,Green
6631e2b4aa38843775c15363,Sha Tin,2019,5,8,4.8,50,20.6,85,0,0,Green
6631e2b4aa38843775c15326,Sha Tin,2019,3,8,7.4,80,16.3,89,7,0,Green
6631e2b4aa38843775c1532a,Sha Tin,2019,3,12,5.5,20,18.7,79,0,0,Green
6631e2b4aa38843775c1532d,Sha Tin,2019,3,15,8.3,30,17.9,80,0,0,Green
6631e2b4aa38843775c15335,Sha Tin,2019,3,23,9.7,100,19.1,89,3,0,Green
