_id,location,year,month,day,mean_windspeed,wind_direction,mean_tempurature,humidity,rainfall,duration,color
6631e392aa38843775c15a64,Shek Kong,2019,1,3,7.9,70,13.7,82,0,0,Green
6631e392aa38843775c15a62,Shek Kong,2019,1,1,8.5,60,12.1,69,0,0,Green
6631e392aa38843775c15a69,Shek Kong,2019,1,8,3.7,70,19.2,77,0,0,Green
6631e392aa38843775c15a67,Shek Kong,2019,1,6,7,70,17.5,79,0,0,Green
6631e392aa38843775c15a65,Shek Kong,2019,1,4,5,90,19.1,81,0,0,Green
6631e392aa38843775c15a66,Shek Kong,2019,1,5,1,290,19.2,88,0,0,Green
6631e392aa38843775c15a6e,Shek Kong,2019,1,13,7.5,90,19.5,85,0,0,Green
6631e392aa38843775c15a70,Shek Kong,2019,1,15,5,60,19.2,85,7.5,0,Green
6631e392aa38843775c15a73,Shek Kong,2019,1,18,5.5,70,16.2,71,0,0,Green
6631e392aa38843775c15a76,Shek Kong,2019,1,21,10.4,50,16.9,61,0,0,Green
6631e392aa38843775c15a79,Shek Kong,2019,1,24,5.1,90,16,68,0,0,Green
6631e392aa38843775c15a7a,Shek Kong,2019,1,25,1.3,300,17.2,71,0,0,Green
6631e392aa38843775c15a7d,Shek Kong,2019,1,28,8.4,100,17.6,64,0,0,Green
6631e392aa38843775c15a80,Shek Kong,2019,1,31,2.5,310,20.6,***,0,0,Green
6631e392aa38843775c15a8e,Shek Kong,2019,2,14,13.6,90,21.7,***,0,0,Green
6631e392aa38843775c15a8f,Shek Kong,2019,2,15,7.8,90,21.4,***,0,0,Green
6631e392aa38843775c15a92,Shek Kong,2019,2,18,9.3,90,18.1,***,33.5,0,Green
6631e392aa38843775c15a9b,Shek Kong,2019,2,27,3.4,100,22.1,***,0,0,Green
6631e392aa38843775c15a9e,Shek Kong,2019,3,2,7.4,80,22.9,***,0,0,Green
6631e392aa38843775c15aa1,Shek Kong,2019,3,5,9.3,90,23.2,***,24.5,0,Green
6631e392aa38843775c15a6b,Shek Kong,2019,1,10,5.9,90,20.2,78,0,0,Green
6631e392aa38843775c15a6c,Shek Kong,2019,1,11,1.4,100,21.2,83,0,0,Green
6631e392aa38843775c15a6d,Shek Kong,2019,1,12,1.9,300,20.8,85,0,0,Green
6631e392aa38843775c15a6f,Shek Kong,2019,1,14,5.5,90,19.5,82,0,0,Green
6631e392aa38843775c15a71,Shek Kong,2019,1,16,10.8,50,16.1,69,0,0,Green
6631e392aa38843775c15a75,Shek Kong,2019,1,20,3.5,80,21.3,72,0,0,Green
6631e392aa38843775c15a78,Shek Kong,2019,1,23,1.4,240,14,65,0,0,Green
6631e392aa38843775c15a7c,Shek Kong,2019,1,27,7.3,90,17.3,66,0,0,Green
6631e392aa38843775c15a7f,Shek Kong,2019,1,30,3.8,80,18.1,***,0,0,Green
6631e392aa38843775c15a87,Shek Kong,2019,2,7,3.3,190,23.5,***,0,0,Green
6631e392aa38843775c15a88,Shek Kong,2019,2,8,8.2,70,21.3,***,0,0,Green
6631e392aa38843775c15a8a,Shek Kong,2019,2,10,15.7,80,19.6,***,0,0,Green
6631e392aa38843775c15a8d,Shek Kong,2019,2,13,2.4,100,21.2,***,0,0,Green
6631e392aa38843775c15a90,Shek Kong,2019,2,16,4.1,100,22.8,***,0,0,Green
6631e392aa38843775c15a94,Shek Kong,2019,2,20,3.3,90,24.1,***,4,0,Green
6631e392aa38843775c15a96,Shek Kong,2019,2,22,5.2,60,20.4,***,1.5,0,Green
6631e392aa38843775c15a97,Shek Kong,2019,2,23,12.1,70,17.5,***,7.5,0,Green
6631e392aa38843775c15a98,Shek Kong,2019,2,24,7.7,70,15,***,2.5,0,Green
6631e392aa38843775c15a68,Shek Kong,2019,1,7,2.4,100,18.6,83,0,0,Green
6631e392aa38843775c15a6a,Shek Kong,2019,1,9,6.3,80,18.6,76,0,0,Green
6631e392aa38843775c15a74,Shek Kong,2019,1,19,3.5,100,19.2,74,0,0,Green
6631e392aa38843775c15a7b,Shek Kong,2019,1,26,5,90,17.6,70,0,0,Green
6631e392aa38843775c15a81,Shek Kong,2019,2,1,10.6,60,17.6,***,0,0,Green
6631e392aa38843775c15a82,Shek Kong,2019,2,2,9.4,70,19.6,***,0,0,Green
6631e392aa38843775c15a83,Shek Kong,2019,2,3,1.2,280,21.7,***,0,0,Green
